Event.Date,Location,Country,Airport.Code,Total.Fatal.Injuries
,,,,
5/10/1992,"ARNOLD, NE",United States,NONE,3
5/10/1992,"HARVARD, IL",United States,0C0,2
,,,,
,,,,
5/10/1992,"LUSBY, MD",United States,MD50,3
,,,,
5/10/1992,"CARTERSVILLE, GA",United States,6A0,0
,,,,
,,,,
,,,,
,,,,
,,,,
5/9/1992,"TWIN HILLS, AK",United States,AK63,0
,,,,
,,,,
5/8/1992,"ARCO, ID",United States,U57,0
,,,,
,,,,
,,,,
5/8/1992,"SELDOVIA, AK",United States,SOV,0
,,,,
5/7/1992,"TOLEDO, WA",United States,TDO,0
5/7/1992,"GOLD BEACH, OR",United States,4S1,0
5/7/1992,"VALENTINE, NE",United States,VTN,0
5/7/1992,"FALMOUTH, KY",United States,KY62,0
,,,,
,,,,
,,,,
5/6/1992,"FREELAND, MI",United States,MBS,0
,,,,
,,,,
,,,,
5/5/1992,"SOUTHBURY, CT",United States,OXC,1
,,,,
5/5/1992,"CAMARILLO, CA",United States,CMA,3
,,,,
,,,,
5/4/1992,"PARKDALE, OR",United States,NONE,0
5/4/1992,"BOYNTON BEACH, FL",United States,1X4,0
5/4/1992,"MODESTO, CA",United States,MOD,0
,,,,
5/4/1992,"LAKE HAVASU, AZ",United States,HII,0
,,,,
,,,,
,,,,
,,,,
5/3/1992,"CHINO, CA",United States,CNO,0
5/3/1992,"MILLIS, MA",United States,MA07,0
,,,,
5/3/1992,"WILMINGTON, NC",United States,ILM,0
,,,,
5/3/1992,"TALKEETNA, AK",United States,TKA,0
,,,,
,,,,
,,,,
5/2/1992,"CORONA, CA",United States,L66,2
,,,,
5/2/1992,"CANTON, TX",United States,7F5,0
,,,,
,,,,
5/1/1992,"HILLSBORO, OR",United States,HIO,0
,,,,
,,,,
5/1/1992,"AMELIA, VA",United States,W80,0
5/1/1992,"CONCORD, NC",United States,4NC8,0
4/30/1992,"DIXIE, ID",United States,U79,0
,,,,
,,,,
,,,,
4/30/1992,"MONTROSE, CO",United States,MTJ,0
,,,,
,,,,
,,,,
4/29/1992,"SIOUX FALLS, SD",United States,SD96,0
4/29/1992,"SCOTIA, NE",United States,10K,0
,,,,
,,,,
4/28/1992,"CALDWELL, ID",United States,U35,0
4/28/1992,"OTTAWA, OH",United States,OWX,0
4/28/1992,"WINFIELD, WV",United States,NONE,0
,,,,
,,,,
,,,,
,,,,
4/27/1992,"HOUSTON, TX",United States,HOU,0
,,,,
,,,,
4/26/1992,"GRANTS PASS, OR",United States,3S8,0
,,,,
4/26/1992,"BROOKSVILLE, FL",United States,XO5,0
,,,,
4/26/1992,"BISHOP, CA",United States,BIH,0
4/26/1992,"HESPERIA, CA",United States,L26,0
4/26/1992,"MAMMOTH LAKES, CA",United States,MMH,0
,,,,
4/26/1992,"SIDNEY, NE",United States,SNY,0
,,,,
,,,,
4/25/1992,"MIAMI, FL",United States,MIA,0
4/25/1992,"RENO, NV",United States,RNO,3
,,,,
4/25/1992,"ORANGEBURG, SC",United States,OGB,0
,,,,
4/24/1992,"VAN NUYS, CA",United States,VNY,0
4/24/1992,"LONG BEACH, CA",United States,LGB,2
,,,,
4/23/1992,"BRYAN, OH",United States,OG6,0
4/23/1992,"TEWKSBURY, MA",United States,B09,0
,,,,
4/23/1992,"FLUSHING, NY",United States,LGA,0
,,,,
,,,,
4/23/1992,"BRINKLEY, AR",United States,NONE,0
4/23/1992,"YPSILANTI, MI",United States,YIP,0
,,,,
,,,,
4/23/1992,"RUTHERFORDTON, NC",United States,79A,0
,,,,
,,,,
,,,,
,,,,
,,,,
4/22/1992,"PERRIS, CA",United States,L65,16
,,,,
4/22/1992,"AUSTIN, TX",United States,AUS,0
4/22/1992,"NEWNAN, GA",United States,NONE,1
,,,,
,,,,
,,,,
4/21/1992,"OXNARD, CA",United States,OXR,0
4/21/1992,"SANTA PAULA, CA",United States,SZP,0
4/21/1992,"KENAI, AK",United States,ENA,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/19/1992,"MOONTOWN, AL",United States,3M5,0
,,,,
4/19/1992,"BIG LAKE, AK",United States,BGQ,0
,,,,
4/18/1992,"COLUMBUS, OH",United States,CMH,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/17/1992,"LEXINGTON, KY",United States,LEX,0
,,,,
4/17/1992,"ACTON, TX",United States,NONE,0
,,,,
,,,,
,,,,
,,,,
4/15/1992,"ELOY, AZ",United States,E60,0
4/15/1992,"CHARLOTTE, NC",United States,CLT,0
,,,,
4/14/1992,"SIDNEY, OH",United States,I12,0
,,,,
,,,,
4/14/1992,"GADSDEN, AL",United States,GAD,0
,,,,
,,,,
,,,,
4/13/1992,"KELLYVILLE, OK",United States,1OK0,1
4/13/1992,"KNIGHTDALE, NC",United States,W17,0
,,,,
,,,,
,,,,
,,,,
4/12/1992,"STUTTGART, AR",United States,NONE,0
,,,,
4/12/1992,"LEE'S SUMMIT, MO",United States,K84,0
,,,,
4/11/1992,"ENGLEWOOD, CO",United States,APA,5
,,,,
4/11/1992,"ST. JAMES, MO",United States,NONE,0
,,,,
,,,,
,,,,
,,,,
4/10/1992,"WEST MILFORD, NJ",United States,4N1,0
,,,,
4/10/1992,"TUCSON, AZ",United States,TUS,0
4/9/1992,"BILLINGS, MT",United States,BIL,0
,,,,
,,,,
,,,,
4/9/1992,"ALBUQUERQUE, NM",United States,4AC,1
,,,,
4/9/1992,"AGUSTA, KS",United States,3AU,0
4/9/1992,"MANTEO, NC",United States,NONE,0
4/8/1992,"HOQUIAM, WA",United States,HQM,0
4/8/1992,"TUMWATER, WA",United States,OLM,0
4/8/1992,"IONE, WA",United States,ION,0
4/8/1992,"DAYTON, OH",United States,DAY,1
,,,,
4/8/1992,"FORT WORTH, TX",United States,AFW,0
,,,,
,,,,
,,,,
,,,,
4/7/1992,"LELAND, IL",United States,8IS7,0
4/7/1992,"MCCARTHY, AK",United States,15Z,0
,,,,
4/6/1992,"VALLEY CITY, ND",United States,6D8,0
,,,,
,,,,
4/5/1992,"MONETA, VA",United States,W91,0
4/5/1992,"PARIS, OH",United States,OH15,1
,,,,
,,,,
,,,,
,,,,
4/5/1992,"BROOKFIELD, WI",United States,02C,0
4/4/1992,"RAVENNA, OH",United States,29G,0
,,,,
4/4/1992,"ST. PETERSBURG, FL",United States,SPG,0
4/4/1992,"TITUSVILLE, FL",United States,TIX,1
,,,,
,,,,
,,,,
4/4/1992,"WEATHERFORD, TX",United States,WEA,0
,,,,
4/4/1992,"LAMAR, CO",United States,LAA,0
4/4/1992,"CENTRALIA, IL",United States,ENL,0
4/4/1992,"OSAGE BEACH, MO",United States,K15,0
4/4/1992,"KOTZEBUE, AK",United States,OTZ,0
,,,,
4/3/1992,"DENVER, CO",United States,BJC,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4/2/1992,"KOTZEBUE, AK",United States,OTZ,0
,,,,
4/1/1992,"COATSVILLE, PA",United States,40N,0
4/1/1992,"DOUGLAS, AZ",United States,P03,0
4/1/1992,"ARCATA, CA",United States,ACV,2
4/1/1992,"SCOTTSVILLE, TX",United States,NONE,0
,,,,
,,,,
,,,,
,,,,
3/31/1992,"PRESCOTT, AZ",United States,PRC,0
3/31/1992,"PRESCOTT, AZ",United States,PRC,0
,,,,
,,,,
,,,,
,,,,
3/29/1992,"FRIDAY HARBOR, WA",United States,FHR,0
3/29/1992,"TAOS, NM",United States,SKX,1
,,,,
3/29/1992,"KENAI, AK",United States,ENA,0
,,,,
3/28/1992,"PHOENIX, AZ",United States,DVT,0
,,,,
,,,,
,,,,
3/28/1992,"JOLIET, IL",United States,JOT,0
3/28/1992,"PHILLIPSBURG, OH",United States,3I7,0
3/28/1992,"CUMBERLAND IS., GA",United States,NONE,0
3/28/1992,"DALTON, GA",United States,DNN,0
,,,,
,,,,
,,,,
3/27/1992,"HAYDEN, CO",United States,HDN,0
,,,,
,,,,
3/27/1992,"TIFTON, GA",United States,TMA,0
,,,,
3/26/1992,"LITTLE ROCK, AR",United States,LIT,0
3/26/1992,"OKLAHOMA CITY, OK",United States,2EJ,1
,,,,
3/26/1992,"ANCHORAGE, AK",United States,MRI,0
3/24/1992,"ERIE, CO",United States,48V,0
3/24/1992,"PIKEVILLE, KY",United States,7K0,0
3/24/1992,"SLEETMUTE, AK",United States,SLQ,0
,,,,
3/23/1992,"LAFAYETTE, IN",United States,3AR,0
3/23/1992,"KENOSHA, WI",United States,ENW,0
3/23/1992,"MALDEN, MO",United States,MAW,0
,,,,
,,,,
,,,,
,,,,
3/22/1992,"BAYTOWN, TX",United States,54TX,0
3/22/1992,"FLUSHING, NY",United States,LGA,27
3/22/1992,"HANOVER, KS",United States,CY5,0
,,,,
3/21/1992,"PHOENIX, AZ",United States,PHX,0
,,,,
3/21/1992,"MANVILLE, NJ",United States,47N,0
3/21/1992,"BARNWELL, SC",United States,BNL,1
,,,,
3/21/1992,"FAIRBANKS, AK",United States,FAI,0
3/20/1992,"HAVASU LAKE, CA",United States,49X,0
3/20/1992,"LANGDON, ND",United States,D55,0
3/19/1992,"EUGENE, OR",United States,EUG,0
,,,,
,,,,
3/19/1992,"BREWER, ME",United States,2W6,0
,,,,
,,,,
3/19/1992,"KENNESAW, GA",United States,RYY,0
3/18/1992,"MIAMI, FL",United States,MIA,0
,,,,
,,,,
,,,,
3/17/1992,"STEVENSVILLE, MD",United States,3W3,0
,,,,
3/16/1992,"WEST HELENA, AR",United States,HEE,0
3/16/1992,"ROANOKE, LA",United States,NONE,0
,,,,
3/16/1992,"LONGMONT, CO",United States,2V2,0
3/16/1992,"DOYLESTOWN, PA",United States,N88,0
,,,,
3/16/1992,"TITUS, AL",United States,NONE,0
,,,,
3/15/1992,"VANCOUVER, WA",United States,59S,0
3/15/1992,"BILLINGS, MT",United States,BIL,0
3/15/1992,"WINTHROP, WA",United States,S52,1
,,,,
3/15/1992,"AUSTIN, NV",United States,NONE,0
,,,,
,,,,
3/15/1992,"WASECA, MN",United States,ACQ,0
3/15/1992,"GRANT, NE",United States,GGF,2
3/15/1992,"MT. PLEASANT, TN",United States,MRC,0
3/15/1992,"JUNEAU, AK",United States,JNU,0
3/14/1992,"CLARENCE, NY",United States,D57,0
3/14/1992,"LOCK HAVEN, PA",United States,LHV,0
,,,,
3/13/1992,"CORCORAN, CA",United States,NONE,0
,,,,
,,,,
,,,,
3/13/1992,"TIMMONSVILLE, SC",United States,58J,0
,,,,
3/12/1992,"JESUP, GA",United States,JES,0
3/12/1992,"ALCOA, TN",United States,TYS,2
3/11/1992,"OKEECHOBEE, FL",United States,OBE,2
3/11/1992,"LONG BEACH, CA",United States,LGB,0
3/11/1992,"SUPERIOR, WI",United States,SUW,2
3/11/1992,"TUSCALOOSA, AL",United States,TCL,0
3/11/1992,"AIKEN, SC",United States,AIK,0
,,,,
3/10/1992,"FALMOUTH, KY",United States,KYG2,0
3/10/1992,"DELAND, FL",United States,1J6,0
,,,,
3/10/1992,"LIMA, OH",United States,AOH,0
3/9/1992,"SANTA MONICA, CA",United States,SMO,0
,,,,
3/9/1992,"BLOOMINGTON, IL",United States,BMI,0
,,,,
,,,,
3/8/1992,"MIAMI, FL",United States,TMB,0
3/8/1992,"LIVERMORE, CA",United States,LVK,0
3/8/1992,"HARRISON, AR",United States,HRO,0
,,,,
3/8/1992,"LITTLE ROCK, AR",United States,1M1,1
,,,,
,,,,
3/8/1992,"STATESVILLE, NC",United States,SVH,0
,,,,
,,,,
,,,,
3/7/1992,"SANTA FE, NM",United States,SAF,0
,,,,
,,,,
,,,,
3/7/1992,"ELKHART, IN",United States,EKM,0
3/7/1992,"QIOQUINTON, VA",United States,W96,0
,,,,
,,,,
3/6/1992,"OZARK, MO",United States,2K2,0
3/6/1992,"SANDSTON, VA",United States,RIC,2
3/6/1992,"FREDERICK, MD",United States,FDK,2
,,,,
,,,,
3/5/1992,"NEW CASTLE, CO",United States,RIL,6
3/5/1992,"FREELAND, MI",United States,MBS,3
3/5/1992,"BREWER, ME",United States,0B2,0
3/4/1992,"GAINESVILLE, FL",United States,GNV,0
,,,,
,,,,
,,,,
3/4/1992,"CHARLESTON, WV",United States,CRW,0
,,,,
3/3/1992,"CHICAGO, IL",United States,ORD,0
,,,,
3/3/1992,"SELAWIK, AK",United States,WLK,0
,,,,
3/2/1992,"GILLETTE, AR",United States,NONE,0
,,,,
3/2/1992,"LONGMONT, CO",United States,2V2,0
3/2/1992,"N TOPSAIL BEACH, NC",United States,54T,2
3/1/1992,"NAMPA, ID",United States,NONE,0
3/1/1992,"MEDINA, OH",United States,1G5,0
3/1/1992,"WINTER HAVEN, FL",United States,GIF,0
3/1/1992,"FORT LAUDERDALE, FL",United States,FLL,0
,,,,
,,,,
3/1/1992,"BOERNE, TX",United States,5C1,0
3/1/1992,"ALBUQUERQUE, NM",United States,ABQ,0
3/1/1992,"REIDSVILLE, NC",United States,6A5,0
,,,,
3/1/1992,"BAINBRIDGE, GA",United States,NONE,0
2/29/1992,"SAN JOSE, CA",United States,SJC,0
,,,,
2/29/1992,"SAN YSIDRO, CA",United States,SDM,2
2/29/1992,"EDMOND, OK",United States,330K,0
,,,,
,,,,
2/29/1992,"LEADVILLE, CO",United States,LXV,0
,,,,
2/28/1992,"WILLIAMSTOWN, NJ",United States,17N,0
,,,,
2/28/1992,"ASHLAND, WI",United States,ASX,0
,,,,
,,,,
,,,,
,,,,
2/27/1992,"KNIGHTDALE, NC",United States,W17,0
,,,,
,,,,
,,,,
2/26/1992,"MC ALESTER, OK",United States,MLC,0
2/26/1992,"MORGANTON, NC",United States,MRN,1
,,,,
,,,,
2/24/1992,"UNIONVILLE, PA",United States,UNV,1
2/24/1992,"ANCHORAGE, AK",United States,ANC,0
,,,,
2/23/1992,"SALT LAKE CITY, UT",United States,SLC,0
,,,,
,,,,
,,,,
,,,,
2/23/1992,"OKLAHOMA CITY, OK",United States,NONE,0
,,,,
2/23/1992,"PERU, IL",United States,VYS,0
,,,,
,,,,
2/22/1992,"FREDERICKSBURG, VA",United States,EZF,0
2/22/1992,"SAN JOSE, CA",United States,RHV,0
2/22/1992,"FULLERTON, CA",United States,FUL,0
,,,,
,,,,
,,,,
,,,,
,,,,
2/21/1992,"ALPENA, MI",United States,APN,0
,,,,
,,,,
2/20/1992,"MONETA, VA",United States,W91,0
2/20/1992,"LAPEER, MI",United States,D95,0
2/20/1992,"HICKORY, NC",United States,HKY,0
2/19/1992,"PELICAN, AK",United States,PEC,0
2/18/1992,"RALEIGH, NC",United States,RDU,2
2/17/1992,"LEESBURG, FL",United States,LEE,0
,,,,
2/17/1992,"SITKA, AK",United States,SIT,0
2/16/1992,"NORDMAN, ID",United States,67S,0
,,,,
2/16/1992,"WHITE LAKE, NY",United States,MSV,1
2/16/1992,"WHEELING, WV",United States,HLG,1
2/16/1992,"TALLAHASSEE, FL",United States,TLH,0
,,,,
,,,,
,,,,
2/15/1992,"SANFORD, ME",United States,SFM,0
2/15/1992,"SANFORD, ME",United States,SFM,0
,,,,
,,,,
,,,,
,,,,
2/15/1992,"SWANTON, OH",United States,TOL,4
,,,,
2/14/1992,"WOOSTER, OH",United States,BJJ,0
2/14/1992,"HEATH, OH",United States,2I8,3
,,,,
,,,,
2/14/1992,"LANAI, HI",United States,LNY,0
2/14/1992,"SHISHMAREF, AK",United States,K09,0
,,,,
,,,,
2/13/1992,"LOGANSPORT, IN",United States,GGP,0
2/13/1992,"MACON, GA",United States,MCN,0
,,,,
,,,,
,,,,
2/12/1992,"VALDEZ, AK",United States,VDZ,0
,,,,
2/11/1992,"LAKELAND, FL",United States,LAL,1
2/11/1992,"SACRAMENTO, CA",United States,Q53,0
,,,,
2/10/1992,"NEW SMYRNA BCH, FL",United States,34J,0
,,,,
,,,,
,,,,
2/9/1992,"NEW YORK, NY",United States,LGA,0
2/9/1992,"KISSIMMEE, FL",United States,ISM,0
2/9/1992,"LAKELAND, FL",United States,LAL,0
2/9/1992,"LEESBURG, FL",United States,LEE,0
,,,,
,,,,
,,,,
,,,,
2/9/1992,"DURANGO, CO",United States,SCO0,0
,,,,
,,,,
2/8/1992,"WEST JORDAN, UT",United States,U42,0
,,,,
2/8/1992,"PERRY, FL",United States,40J,0
,,,,
2/8/1992,"MIAMI, FL",United States,MIA,0
2/8/1992,"MIAMI, FL",United States,MIA,0
2/8/1992,"FAIRBANKS, AK",United States,FAI,0
,,,,
,,,,
2/7/1992,"BLAKESBURG, IA",United States,5C2,0
,,,,
,,,,
2/6/1992,"MONTE VISTA, CO",United States,MV1,0
2/6/1992,"WHEELING, IL",United States,PWK,0
,,,,
,,,,
,,,,
2/5/1992,"ALTURAS, CA",United States,O00,0
,,,,
,,,,
2/4/1992,"RICHVALE, CA",United States,O97,0
2/4/1992,"METLAKATLA, AK",United States,MTM,0
2/4/1992,"TUNUNAK, AK",United States,AK45,0
2/3/1992,"CARSON CITY, NV",United States,O04,0
2/3/1992,"WACO, TX",United States,ACT,0
,,,,
,,,,
,,,,
,,,,
2/2/1992,"HOWELL, MI",United States,3HE,0
2/2/1992,"SANDSTONE, MN",United States,57Y,0
2/2/1992,"CEDAR RAPIDS, IA",United States,CID,0
2/2/1992,"SHELBYVILLE, TN",United States,SYI,0
,,,,
2/1/1992,"DESTIN, FL",United States,81J,0
2/1/1992,"ENGLEWOOD, CO",United States,APA,0
,,,,
1/31/1992,"BANGOR, ME",United States,BGR,0
,,,,
,,,,
1/31/1992,"BARTLESVILLE, OK",United States,BVO,2
1/31/1992,"AZTEC, NM",United States,Q19,1
1/31/1992,"SWANTON, OH",United States,TOL,3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1/29/1992,"COTTONWOOD, AZ",United States,P52,0
,,,,
1/29/1992,"OKLAHOMA CITY, OK",United States,2EJ,1
1/29/1992,"EAST TAUNTON, MA",United States,TAN,0
,,,,
,,,,
1/28/1992,"ANCHORAGE, AK",United States,ANC,0
,,,,
1/27/1992,"ENGLEWOOD, CO",United States,APA,0
1/26/1992,"FT MOJAVE, AZ",United States,AZ06,0
1/26/1992,"LANSING, MI",United States,LAN,0
1/26/1992,"LANSING, MI",United States,LAN,0
1/26/1992,"MANASSAS, VA",United States,HEF,1
,,,,
,,,,
1/25/1992,"MINNEAPOLIS, MN",United States,ANE,0
1/25/1992,"OMAHA, NE",United States,OMA,0
1/25/1992,"NEW HAVEN, MI",United States,57D,0
,,,,
1/24/1992,"CHANDLER, AZ",United States,P19,0
,,,,
,,,,
,,,,
,,,,
1/23/1992,"PACOIMA, CA",United States,WHP,0
,,,,
1/22/1992,"DENTON, TX",United States,5TXO,0
1/21/1992,"AUSTIN, TX",United States,3R3,0
1/21/1992,"GADSDEN, AL",United States,GAD,0
,,,,
1/20/1992,"BOULDER, NV",United States,61B,0
,,,,
,,,,
,,,,
,,,,
,,,,
1/19/1992,"GAYLORD, MI",United States,GLR,0
,,,,
,,,,
1/18/1992,"CHEHALIS, WA",United States,NONE,0
1/18/1992,"SANTA MONICA, CA",United States,SMO,2
,,,,
1/18/1992,"MONEE, IL",United States,C56,0
,,,,
1/18/1992,"HORSEHEADS, NY",United States,ELM,0
1/17/1992,"PUT IN BAY, OH",United States,OH30,0
1/16/1992,"COLUMBIA, SC",United States,CUB,2
1/15/1992,"POMPANO BEACH, FL",United States,PMP,0
1/15/1992,"ENGLEWOOD, CO",United States,APA,0
,,,,
1/15/1992,"PORT MOLLER, AK",United States,PML,0
,,,,
,,,,
1/14/1992,"ALBUQUERQUE, NM",United States,AEG,0
,,,,
,,,,
,,,,
,,,,
1/13/1992,"TEMPLE BAR, AZ",United States,U30,2
1/13/1992,"GRAND RAPIDS, MN",United States,GPZ,0
1/13/1992,"BOWLING GREEN, KY",United States,BWG,0
,,,,
1/12/1992,"WEST PALM BEACH, FL",United States,PBI,0
,,,,
1/12/1992,"RICHMOND, RI",United States,RI04,0
1/12/1992,"BALTIMORE, MD",United States,BWI,0
,,,,
1/12/1992,"GRIFFIN, GA",United States,NONE,0
,,,,
1/11/1992,"LANTANA, FL",United States,LNA,1
,,,,
,,,,
,,,,
,,,,
,,,,
1/11/1992,"GRIFFITH, IN",United States,05C,0
,,,,
,,,,
1/10/1992,"LAKE ELMO, MN",United States,21D,0
,,,,
,,,,
1/9/1992,"ANCHORAGE, AK",United States,MRI,0
,,,,
,,,,
1/8/1992,"FORT WAYNE, IN",United States,FWA,0
1/8/1992,"MEMPHIS, TN",United States,MEM,1
1/8/1992,"ENGLISH BAY, AK",United States,KEB,0
1/7/1992,"DFW AIRPORT, TX",United States,DFW,0
,,,,
,,,,
1/6/1992,"MOUNT HOLLY, NJ",United States,7MY,0
1/6/1992,"ATMAUTLUAK, AK",United States,08AK,0
,,,,
,,,,
1/5/1992,"EDGARTOWN, MA",United States,1B2,0
1/4/1992,"NEWBERG, OR",United States,2S6,0
,,,,
1/4/1992,"BAKERSFIELD, CA",United States,BFL,0
,,,,
1/4/1992,"YOUNG, AZ",United States,49E,0
,,,,
,,,,
,,,,
1/4/1992,"STEAMBOAT SPGS, CO",United States,SBS,3
1/4/1992,"PEKIN, IL",United States,PIA,1
1/4/1992,"WADSWORTH, OH",United States,3G3,0
1/3/1992,"BONHAM, TX",United States,FOO,0
,,,,
1/3/1992,"GABRIELS, NY",United States,SLK,2
1/2/1992,"LOGAN, UT",United States,LGU,0
1/2/1992,"FLAGSTAFF, AZ",United States,FLG,2
,,,,
1/2/1992,"PORT WALTER, AK",United States,PWR,0
,,,,
1/1/1992,"EUSTIS, FL",United States,X55,0
,,,,
1/1/1992,"GLASGOW, KY",United States,GLW,0
12/31/1991,"SAN DIEGO, CA",United States,MYF,0
12/31/1991,"COTTONPORT, LA",United States,NONE,0
12/31/1991,"GREENCASTLE, IN",United States,417,0
,,,,
12/30/1991,"BIG BEAR CITY, CA",United States,L35,0
12/30/1991,"ORANGE, TX",United States,ORG,0
12/30/1991,"NORTH SALEM, NY",United States,DXR,2
,,,,
12/29/1991,"TYLER, TX",United States,TYR,0
,,,,
,,,,
,,,,
12/28/1991,"TOLEDO, WA",United States,TDO,0
,,,,
,,,,
,,,,
12/28/1991,"MELBOURNE, FL",United States,MLB,0
,,,,
12/27/1991,"STANLEY, ID",United States,SU7,0
12/27/1991,"CARSON CITY, NV",United States,O04,0
12/27/1991,"LANCASTER, CA",United States,WJF,0
,,,,
,,,,
12/26/1991,"MISSOULA, MT",United States,MSO,0
12/26/1991,"STRATFORD, CT",United States,BDR,0
12/26/1991,"FAYETTEVILLE, NC",United States,FAY,0
,,,,
,,,,
,,,,
12/25/1991,"WILMINGTON, OH",United States,OH77,3
12/25/1991,"HAPPY CAMP, CA",United States,36S,2
,,,,
12/25/1991,"TATITLEK, AK",United States,AK47,0
,,,,
12/24/1991,"AURORA, CO",United States,01V,0
,,,,
12/23/1991,"CARLSBAD, CA",United States,CRQ,0
12/23/1991,"FARGO, ND",United States,FAR,0
12/23/1991,"CHICAGO, IL",United States,ORD,0
12/23/1991,"CHICAGO, IL",United States,ORD,0
,,,,
,,,,
,,,,
,,,,
,,,,
12/21/1991,"WATSONVILLE, CA",United States,WVI,0
,,,,
12/21/1991,"YUMA, CO",United States,2V6,0
12/20/1991,"POINT MUGU, CA",United States,NTD,0
12/20/1991,"FLAGSTAFF, AZ",United States,FLG,2
12/20/1991,"KENAI, AK",United States,NONE,0
12/19/1991,"ANCHORAGE, AK",United States,Z41,0
,,,,
12/18/1991,"GULFPORT, MS",United States,MS82,0
,,,,
12/18/1991,"COVINGTON, KY",United States,CVG,0
,,,,
,,,,
12/16/1991,"ALPINE, TX",United States,E38,0
,,,,
,,,,
12/15/1991,"CARLISLE, AR",United States,4M3,0
,,,,
12/15/1991,"CHUGIAK, AK",United States,Z15,0
,,,,
12/14/1991,"FALL RIVER, MA",United States,FLR,1
12/14/1991,"KETCHIKAN, AK",United States,5KE,1
12/13/1991,"HOLLYWOOD, FL",United States,HWO,0
,,,,
,,,,
12/13/1991,"DEWITT, AR",United States,5M1,4
12/13/1991,"POINT LOOKOUT, MO",United States,PLK,0
12/13/1991,"ROSEAU, MN",United States,ROX,0
,,,,
12/12/1991,"LOCKPORT, NY",United States,0G0,0
12/12/1991,"GANSEVOORT, NY",United States,7N48,0
,,,,
12/12/1991,"SPUR, TX",United States,62F,0
,,,,
,,,,
,,,,
12/11/1991,"CHARLOTTE, NC",United States,CLT,0
,,,,
12/11/1991,"ROME, GA",United States,RMG,9
12/11/1991,"CARLYLE, IL",United States,UNK,0
,,,,
,,,,
12/11/1991,"CARMI, IL",United States,CUL,0
,,,,
,,,,
12/10/1991,"ARLINGTON, TX",United States,F54,0
12/10/1991,"ERIE, CO",United States,48V,0
12/10/1991,"MINNEAPOLIS, MN",United States,FCM,0
12/10/1991,"RENSSELAER, IN",United States,RZL,1
,,,,
12/9/1991,"QUINCY, FL",United States,259,0
12/9/1991,"HOUSTON, TX",United States,IWS,0
12/9/1991,"ELKHART, IN",United States,3C1,0
,,,,
12/8/1991,"VERO BEACH, FL",United States,VRB,0
,,,,
,,,,
,,,,
12/8/1991,"PASADENA, TX",United States,EFD,0
12/8/1991,"FAIRBURY, NE",United States,FBY,0
,,,,
12/8/1991,"CAMDENTON, MO",United States,H21,1
12/8/1991,"LEON, WV",United States,WV30,0
12/8/1991,"TALKEETNA, AK",United States,TKA,0
,,,,
,,,,
12/7/1991,"PIQUA, OH",United States,I17,0
,,,,
,,,,
12/7/1991,"BATON ROUGE, LA",United States,LA30,0
12/7/1991,"SOUTHLAKE, TX",United States,23F,0
12/7/1991,"INDIANAPOLIS, IN",United States,I21,0
,,,,
12/6/1991,"KLAMATH FALLS, OR",United States,LMT,0
,,,,
12/6/1991,"BAKERSFIELD, CA",United States,L45,0
,,,,
,,,,
12/5/1991,"BROOMFIELD, CO",United States,BJC,0
,,,,
,,,,
12/4/1991,"WHEELING, IL",United States,PWK,0
12/4/1991,"MORRIS, MN",United States,MOX,0
12/4/1991,"WEST CHICAGO, IL",United States,DPA,0
12/4/1991,"RAMSEUR, NC",United States,NC13,0
12/3/1991,"IOWA, IA",United States,IOW,0
12/2/1991,"RIO MEDINA, TX",United States,NONE,0
12/2/1991,"HAMILTON, TX",United States,MNZ,0
12/2/1991,"FRANKFORT, IL",United States,C18,0
12/1/1991,"MISSOULA, MT",United States,MSO,0
12/1/1991,"PALO ALTO, CA",United States,PAO,0
,,,,
,,,,
,,,,
12/1/1991,"CARTHAGE, MO",United States,H20,0
12/1/1991,"LAKEVILLE, MN",United States,Y12,0
12/1/1991,"LAKEVILLE, MN",United States,Y12,0
12/1/1991,"SANDSTON, VA",United States,RIC,0
12/1/1991,"ANCHORAGE, AK",United States,MRI,0
11/30/1991,"LUBBOCK, TX",United States,LBB,0
11/29/1991,"EVERETT, WA",United States,PAE,0
,,,,
,,,,
,,,,
,,,,
11/29/1991,"DENVER, CO",United States,DEN,0
11/29/1991,"WILLMAR, MN",United States,ILL,0
,,,,
11/28/1991,"AKRON, OH",United States,CAK,0
11/28/1991,"SAN ANDREAS, CA",United States,3,0
,,,,
11/27/1991,"BUNNELL, FL",United States,X47,0
,,,,
11/27/1991,"SANTA FE, NM",United States,SAF,0
11/27/1991,"WATKINS, CO",United States,FTG,0
11/27/1991,"DECORAH, IA",United States,UNK,0
11/26/1991,"ORLANDO, FL",United States,ORL,0
11/26/1991,"TUCSON, AZ",United States,TUS,0
11/26/1991,"LONG BEACH, CA",United States,LGB,0
,,,,
,,,,
,,,,
11/25/1991,"OKMULGEE, OK",United States,OKM,0
11/25/1991,"BELEN, NM",United States,E80,0
,,,,
,,,,
,,,,
,,,,
,,,,
11/23/1991,"BRAINERD, MN",United States,BRD,0
11/22/1991,"VANCOUVER, WA",United States,59S,0
